Date,Discharge
1/1/2015,1560
1/2/2015,1190
1/3/2015,1820
1/4/2015,7450
1/5/2015,5060
1/6/2015,3120
1/7/2015,1180
1/8/2015,1940
1/9/2015,2370
1/10/2015,1610
1/11/2015,1120
1/12/2015,1110
1/13/2015,1360
1/14/2015,2030
1/15/2015,1250
1/16/2015,1670
1/17/2015,1320
1/18/2015,1020
1/19/2015,1010
1/20/2015,1080
1/21/2015,1220
1/22/2015,1260
1/23/2015,1700
1/24/2015,1820
1/25/2015,1220
1/26/2015,1130
1/27/2015,1530
1/28/2015,2720
1/29/2015,2870
1/30/2015,2140
1/31/2015,1670
2/1/2015,1150
2/2/2015,2390
2/3/2015,2440
2/4/2015,2250
2/5/2015,1820
2/6/2015,2200
2/7/2015,1560
2/8/2015,995
2/9/2015,1830
2/10/2015,2460
2/11/2015,1870
2/12/2015,1950
2/13/2015,2110
2/14/2015,1680
2/15/2015,1020
2/16/2015,1140
2/17/2015,3460
2/18/2015,1190
2/19/2015,1310
2/20/2015,1880
2/21/2015,1570
2/22/2015,1190
2/23/2015,1540
2/24/2015,3600
2/25/2015,2610
2/26/2015,2790
2/27/2015,2660
2/28/2015,4280
3/1/2015,2590
3/2/2015,1830
3/3/2015,2060
3/4/2015,2730
3/5/2015,2730
3/6/2015,3280
3/7/2015,1830
3/8/2015,1180
3/9/2015,1060
3/10/2015,1820
3/11/2015,2240
3/12/2015,2450
3/13/2015,1920
3/14/2015,1080
3/15/2015,1000
3/16/2015,975
3/17/2015,1990
3/18/2015,2200
3/19/2015,2460
3/20/2015,2980
3/21/2015,1430
3/22/2015,1210
3/23/2015,1500
3/24/2015,2380
3/25/2015,2550
3/26/2015,3180
3/27/2015,4680
3/28/2015,2040
3/29/2015,936
3/30/2015,1320
3/31/2015,1790
4/1/2015,2470
4/2/2015,2140
4/3/2015,3200
4/4/2015,2510
4/5/2015,1300
4/6/2015,1670
4/7/2015,1570
4/8/2015,2060
4/9/2015,2480
4/10/2015,3380
4/11/2015,3410
4/12/2015,1090
4/13/2015,1230
4/14/2015,2440
4/15/2015,1950
4/16/2015,1860
4/17/2015,3340
4/18/2015,3290
4/19/2015,3340
4/20/2015,2670
4/21/2015,4270
4/22/2015,3010
4/23/2015,3980
4/24/2015,4050
4/25/2015,3980
4/26/2015,1520
4/27/2015,1310
4/28/2015,2310
4/29/2015,2770
4/30/2015,2740
5/1/2015,2410
5/2/2015,2380
5/3/2015,992
5/4/2015,996
5/5/2015,2620
5/6/2015,2050
5/7/2015,2590
5/8/2015,3070
5/9/2015,2210
5/10/2015,946
5/11/2015,938
5/12/2015,2170
5/13/2015,2620
5/14/2015,2170
5/15/2015,2280
5/16/2015,2360
5/17/2015,1100
5/18/2015,1880
5/19/2015,3520
5/20/2015,2030
5/21/2015,2120
5/22/2015,2670
5/23/2015,1940
5/24/2015,937
5/25/2015,1080
5/26/2015,3820
5/27/2015,4220
5/28/2015,2570
5/29/2015,3650
5/30/2015,1960
5/31/2015,1460
6/1/2015,2640
6/2/2015,3060
6/3/2015,2410
6/4/2015,2420
6/5/2015,2810
6/6/2015,2180
6/7/2015,977
6/8/2015,1050
6/9/2015,1580
6/10/2015,2830
6/11/2015,2160
6/12/2015,1940
6/13/2015,1970
6/14/2015,1010
6/15/2015,991
6/16/2015,1710
6/17/2015,2060
6/18/2015,2230
6/19/2015,2890
6/20/2015,2100
6/21/2015,1220
6/22/2015,1100
6/23/2015,1620
6/24/2015,2710
6/25/2015,2550
6/26/2015,1800
6/27/2015,2470
6/28/2015,1770
6/29/2015,1260
6/30/2015,1700
7/1/2015,2120
7/2/2015,2360
7/3/2015,2540
7/4/2015,2180
7/5/2015,2710
7/6/2015,1930
7/7/2015,2250
7/8/2015,2130
7/9/2015,2080
7/10/2015,1810
7/11/2015,2030
7/12/2015,1110
7/13/2015,2300
7/14/2015,2460
7/15/2015,3070
7/16/2015,2330
7/17/2015,2250
7/18/2015,1690
7/19/2015,1100
7/20/2015,995
7/21/2015,2200
7/22/2015,2140
7/23/2015,2080
7/24/2015,2200
7/25/2015,1150
7/26/2015,971
7/27/2015,989
7/28/2015,1540
7/29/2015,1310
7/30/2015,1480
7/31/2015,1060
8/1/2015,1320
8/2/2015,986
8/3/2015,1020
8/4/2015,1050
8/5/2015,1040
8/6/2015,1560
8/7/2015,1580
8/8/2015,1210
8/9/2015,1230
8/10/2015,1020
8/11/2015,1310
8/12/2015,1470
8/13/2015,1440
8/14/2015,1310
8/15/2015,1130
8/16/2015,969
8/17/2015,1020
8/18/2015,1790
8/19/2015,3700
8/20/2015,2620
8/21/2015,1710
8/22/2015,1320
8/23/2015,2450
8/24/2015,3060
8/25/2015,1960
8/26/2015,1400
8/27/2015,1350
8/28/2015,1690
8/29/2015,1230
8/30/2015,1170
8/31/2015,1180
9/1/2015,1140
9/2/2015,1640
9/3/2015,1490
9/4/2015,1310
9/5/2015,1230
9/6/2015,1090
9/7/2015,1100
9/8/2015,1200
9/9/2015,1210
9/10/2015,1930
9/11/2015,1780
9/12/2015,1580
9/13/2015,1290
9/14/2015,1110
9/15/2015,1100
9/16/2015,1090
9/17/2015,1180
9/18/2015,1430
9/19/2015,1360
9/20/2015,1070
9/21/2015,1090
9/22/2015,1630
9/23/2015,1490
9/24/2015,1770
9/25/2015,3350
9/26/2015,2620
9/27/2015,1400
9/28/2015,1140
9/29/2015,1550
9/30/2015,1920
10/1/2015,2150
10/2/2015,1980
10/3/2015,2760
10/4/2015,3310
10/5/2015,2600
10/6/2015,2250
10/7/2015,2010
10/8/2015,2120
10/9/2015,2250
10/10/2015,2680
10/11/2015,1780
10/12/2015,1150
10/13/2015,1700
10/14/2015,2510
10/15/2015,3410
10/16/2015,3420
10/17/2015,1770
10/18/2015,1330
10/19/2015,1170
10/20/2015,2080
10/21/2015,1450
10/22/2015,1600
10/23/2015,1770
10/24/2015,1560
10/25/2015,1020
10/26/2015,1140
10/27/2015,1390
10/28/2015,2240
10/29/2015,2080
10/30/2015,1640
10/31/2015,1530
11/1/2015,1960
11/2/2015,7110
11/3/2015,6840
11/4/2015,2930
11/5/2015,1410
11/6/2015,2610
11/7/2015,5160
11/8/2015,3590
11/9/2015,5120
11/10/2015,4210
11/11/2015,2690
11/12/2015,2090
11/13/2015,3270
11/14/2015,2990
11/15/2015,1170
11/16/2015,1650
11/17/2015,3180
11/18/2015,4640
11/19/2015,6120
11/20/2015,3220
11/21/2015,3540
11/22/2015,3520
11/23/2015,4170
11/24/2015,6010
11/25/2015,6110
11/26/2015,6120
11/27/2015,6190
11/28/2015,5170
11/29/2015,1290
11/30/2015,1230
12/1/2015,2000
12/2/2015,1630
12/3/2015,3360
12/4/2015,6250
12/5/2015,4790
12/6/2015,1170
12/7/2015,1210
12/8/2015,4680
12/9/2015,5220
12/10/2015,5120
12/11/2015,4800
12/12/2015,3680
12/13/2015,1090
12/14/2015,1050
12/15/2015,2890
12/16/2015,1830
12/17/2015,5870
12/18/2015,3650
12/19/2015,1900
12/20/2015,1210
12/21/2015,1490
12/22/2015,4880
12/23/2015,5160
12/24/2015,8450
12/25/2015,7830
12/26/2015,6500
12/27/2015,2780
12/28/2015,2690
12/29/2015,5870
12/30/2015,5040
12/31/2015,3720
1/1/2016,3600
1/2/2016,7090
1/3/2016,7130
1/4/2016,7230
1/5/2016,7040
1/6/2016,7800
1/7/2016,7710
1/8/2016,7970
1/9/2016,7800
1/10/2016,8010
1/11/2016,7920
1/12/2016,7770
1/13/2016,7740
1/14/2016,7600
1/15/2016,10600
1/16/2016,6000
1/17/2016,2830
1/18/2016,5850
1/19/2016,7950
1/20/2016,7860
1/21/2016,7780
1/22/2016,8310
1/23/2016,5550
1/24/2016,7640
1/25/2016,8110
1/26/2016,6800
1/27/2016,4930
1/28/2016,7980
1/29/2016,7900
1/30/2016,8030
1/31/2016,8160
2/1/2016,8340
2/2/2016,7670
2/3/2016,7240
2/4/2016,5190
2/5/2016,7570
2/6/2016,6980
2/7/2016,7950
2/8/2016,7920
2/9/2016,7780
2/10/2016,7310
2/11/2016,4420
2/12/2016,4220
2/13/2016,3630
2/14/2016,1150
2/15/2016,1900
2/16/2016,4740
2/17/2016,3510
2/18/2016,3670
2/19/2016,3140
2/20/2016,1940
2/21/2016,1080
2/22/2016,1870
2/23/2016,6220
2/24/2016,7820
2/25/2016,7760
2/26/2016,7180
2/27/2016,6570
2/28/2016,6410
2/29/2016,6160
3/1/2016,6480
3/2/2016,7610
3/3/2016,6970
3/4/2016,7260
3/5/2016,5190
3/6/2016,1680
3/7/2016,2570
3/8/2016,6270
3/9/2016,6230
3/10/2016,5610
3/11/2016,4530
3/12/2016,3440
3/13/2016,1690
3/14/2016,2210
3/15/2016,3670
3/16/2016,4120
3/17/2016,4210
3/18/2016,3970
3/19/2016,2540
3/20/2016,1300
3/21/2016,1700
3/22/2016,3380
3/23/2016,2430
3/24/2016,3020
3/25/2016,3680
3/26/2016,2100
3/27/2016,1090
3/28/2016,1070
3/29/2016,3120
3/30/2016,3100
3/31/2016,3110
4/1/2016,2030
4/2/2016,2120
4/3/2016,1300
4/4/2016,1540
4/5/2016,3350
4/6/2016,3090
4/7/2016,3390
4/8/2016,3260
4/9/2016,2520
4/10/2016,1160
4/11/2016,1330
4/12/2016,3790
4/13/2016,2340
4/14/2016,2230
4/15/2016,2360
4/16/2016,1780
4/17/2016,1170
4/18/2016,965
4/19/2016,1160
4/20/2016,1470
4/21/2016,1300
4/22/2016,1240
4/23/2016,2630
4/24/2016,1100
4/25/2016,1080
4/26/2016,2010
4/27/2016,1740
4/28/2016,1590
4/29/2016,2250
4/30/2016,2320
5/1/2016,1550
5/2/2016,1350
5/3/2016,1750
5/4/2016,3190
5/5/2016,3210
5/6/2016,3370
5/7/2016,2170
5/8/2016,1090
5/9/2016,1280
5/10/2016,1950
5/11/2016,1790
5/12/2016,2480
5/13/2016,3160
5/14/2016,3120
5/15/2016,1040
5/16/2016,1300
5/17/2016,4520
5/18/2016,4070
5/19/2016,3860
5/20/2016,3370
5/21/2016,2810
5/22/2016,1110
5/23/2016,1440
5/24/2016,3070
5/25/2016,3190
5/26/2016,3170
5/27/2016,3240
5/28/2016,3120
5/29/2016,1080
5/30/2016,985
5/31/2016,1640
6/1/2016,3580
6/2/2016,4170
6/3/2016,3790
6/4/2016,2390
6/5/2016,1200
6/6/2016,1180
6/7/2016,2270
6/8/2016,2410
6/9/2016,1900
6/10/2016,1740
6/11/2016,1840
6/12/2016,1110
6/13/2016,1230
6/14/2016,2590
6/15/2016,2350
6/16/2016,1770
6/17/2016,2070
6/18/2016,1670
6/19/2016,1060
6/20/2016,1030
6/21/2016,1050
6/22/2016,1720
6/23/2016,1520
6/24/2016,1560
6/25/2016,1420
6/26/2016,1210
6/27/2016,1220
6/28/2016,1450
6/29/2016,1600
6/30/2016,1280
7/1/2016,1310
7/2/2016,1270
7/3/2016,1020
7/4/2016,1030
7/5/2016,1070
7/6/2016,1280
7/7/2016,1370
7/8/2016,1370
7/9/2016,1160
7/10/2016,1040
7/11/2016,1040
7/12/2016,1310
7/13/2016,1300
7/14/2016,1170
7/15/2016,1080
7/16/2016,1670
7/17/2016,1280
7/18/2016,1060
7/19/2016,1050
7/20/2016,1320
7/21/2016,1110
7/22/2016,1380
7/23/2016,1150
7/24/2016,1120
7/25/2016,1110
7/26/2016,1190
7/27/2016,1090
7/28/2016,1200
7/29/2016,1070
7/30/2016,1200
7/31/2016,1050
8/1/2016,1020
8/2/2016,1060
8/3/2016,1050
8/4/2016,1300
8/5/2016,1480
8/6/2016,1080
8/7/2016,973
8/8/2016,1560
8/9/2016,1510
8/10/2016,1050
8/11/2016,1040
8/12/2016,1160
8/13/2016,987
8/14/2016,941
8/15/2016,947
8/16/2016,1400
8/17/2016,1420
8/18/2016,1450
8/19/2016,1660
8/20/2016,1390
8/21/2016,1190
8/22/2016,1440
8/23/2016,1200
8/24/2016,1290
8/25/2016,1500
8/26/2016,1100
8/27/2016,1340
8/28/2016,995
8/29/2016,985
8/30/2016,1040
8/31/2016,1000
9/1/2016,1060
9/2/2016,1660
9/3/2016,1470
9/4/2016,1020
9/5/2016,988
9/6/2016,987
9/7/2016,977
9/8/2016,989
9/9/2016,1000
9/10/2016,988
9/11/2016,967
9/12/2016,982
9/13/2016,975
9/14/2016,972
9/15/2016,1010
9/16/2016,1080
9/17/2016,1060
9/18/2016,1430
9/19/2016,1750
9/20/2016,1510
9/21/2016,1150
9/22/2016,1090
9/23/2016,1090
9/24/2016,1060
9/25/2016,1060
9/26/2016,1080
9/27/2016,1100
9/28/2016,1170
9/29/2016,1090
9/30/2016,1010
10/1/2016,1010
10/2/2016,1010
10/3/2016,1010
10/4/2016,994
10/5/2016,994
10/6/2016,994
10/7/2016,990
10/8/2016,1060
10/9/2016,983
10/10/2016,981
10/11/2016,1190
10/12/2016,979
10/13/2016,1140
10/14/2016,994
10/15/2016,1060
10/16/2016,989
10/17/2016,982
10/18/2016,1180
10/19/2016,1160
10/20/2016,1060
10/21/2016,1010
10/22/2016,1080
10/23/2016,936
10/24/2016,956
10/25/2016,1070
10/26/2016,1040
10/27/2016,1030
10/28/2016,1040
10/29/2016,1040
10/30/2016,1010
10/31/2016,1020
11/1/2016,1010
11/2/2016,1030
11/3/2016,1020
11/4/2016,1020
11/5/2016,1010
11/6/2016,1010
11/7/2016,1010
11/8/2016,1020
11/9/2016,1020
11/10/2016,1030
11/11/2016,1020
11/12/2016,1080
11/13/2016,1050
11/14/2016,1110
11/15/2016,1050
11/16/2016,1040
11/17/2016,1030
11/18/2016,1030
11/19/2016,1030
11/20/2016,1020
11/21/2016,1030
11/22/2016,1050
11/23/2016,1050
11/24/2016,1370
11/25/2016,1040
11/26/2016,1040
11/27/2016,1030
11/28/2016,1020
11/29/2016,2550
11/30/2016,2640
12/1/2016,2050
12/2/2016,1190
12/3/2016,1000
12/4/2016,1140
12/5/2016,1560
12/6/2016,2000
12/7/2016,1550
12/8/2016,1030
12/9/2016,1030
12/10/2016,1040
12/11/2016,1040
12/12/2016,1030
12/13/2016,1040
12/14/2016,1030
12/15/2016,1040
12/16/2016,1040
12/17/2016,1040
12/18/2016,1050
12/19/2016,1060
12/20/2016,1050
12/21/2016,1190
12/22/2016,1380
12/23/2016,1130
12/24/2016,1180
12/25/2016,1040
12/26/2016,1040
12/27/2016,1050
12/28/2016,1210
12/29/2016,1660
12/30/2016,1310
12/31/2016,1390
1/1/2017,1310
1/2/2017,2200
1/3/2017,4850
1/4/2017,2050
1/5/2017,1170
1/6/2017,1240
1/7/2017,1400
1/8/2017,1450
1/9/2017,1260
1/10/2017,1190
1/11/2017,1360
1/12/2017,1130
1/13/2017,1130
1/14/2017,1350
1/15/2017,1280
1/16/2017,1090
1/17/2017,1110
1/18/2017,1340
1/19/2017,1320
1/20/2017,2170
1/21/2017,3160
1/22/2017,4550
1/23/2017,3060
1/24/2017,1750
1/25/2017,1230
1/26/2017,1180
1/27/2017,1120
1/28/2017,1010
1/29/2017,871
1/30/2017,807
1/31/2017,966
2/1/2017,967
2/2/2017,958
2/3/2017,944
2/4/2017,981
2/5/2017,958
2/6/2017,971
2/7/2017,1040
2/8/2017,1130
2/9/2017,1150
2/10/2017,1090
2/11/2017,968
2/12/2017,934
2/13/2017,950
2/14/2017,948
2/15/2017,1070
2/16/2017,1120
2/17/2017,947
2/18/2017,941
2/19/2017,946
2/20/2017,976
2/21/2017,936
2/22/2017,956
2/23/2017,915
2/24/2017,912
2/25/2017,897
2/26/2017,894
2/27/2017,907
2/28/2017,923
3/1/2017,916
3/2/2017,1070
3/3/2017,960
3/4/2017,912
3/5/2017,883
3/6/2017,880
3/7/2017,912
3/8/2017,959
3/9/2017,889
3/10/2017,1130
3/11/2017,1270
3/12/2017,1170
3/13/2017,1180
3/14/2017,967
3/15/2017,1020
3/16/2017,956
3/17/2017,886
3/18/2017,959
3/19/2017,889
3/20/2017,897
3/21/2017,894
3/22/2017,1140
3/23/2017,928
3/24/2017,880
3/25/2017,883
3/26/2017,955
3/27/2017,886
3/28/2017,1530
3/29/2017,1100
3/30/2017,927
3/31/2017,1550
4/1/2017,1270
4/2/2017,957
4/3/2017,1310
4/4/2017,1610
4/5/2017,4590
4/6/2017,6860
4/7/2017,3030
4/8/2017,1460
4/9/2017,1080
4/10/2017,956
4/11/2017,939
4/12/2017,955
4/13/2017,880
4/14/2017,841
4/15/2017,832
4/16/2017,830
4/17/2017,814
4/18/2017,864
4/19/2017,841
4/20/2017,819
4/21/2017,822
4/22/2017,808
4/23/2017,1120
4/24/2017,2430
4/25/2017,1540
4/26/2017,1200
4/27/2017,887
4/28/2017,835
4/29/2017,776
4/30/2017,787
5/1/2017,980
5/2/2017,915
